variant,n_runs,n_time_valid,n_score_valid,n_strict_valid,n_repeat_valid,time_corr,time_spearman,time_mae,time_dir_acc,time_band_acc,repeat_corr,repeat_spearman,repeat_mae,score_corr,score_mae,tie_gate_threshold,tie_shrink_power,tie_margin_weight_alpha,min_anchor_quality,anchor_outlier_mad_scale,anchor_outlier_min_delta,combo_index
ALL,498,481,374,361,75,0.316601,0.431532,1.15652,0.85,0.617729,0.791225,0.729028,1.355864,0.905731,0.275078,0.48,0.65,0.1,0.25,2.5,0.3,1
O0,128,121,128,121,25,,,0.35294,,1.0,,,0.296346,,0.336763,0.48,0.65,0.1,0.25,2.5,0.3,1
O1,124,120,0,0,0,-0.013918,-0.017598,1.358224,0.833333,,,,,,,0.48,0.65,0.1,0.25,2.5,0.3,1
O2,124,120,124,120,25,0.20205,0.193131,1.452418,0.841667,0.475,0.73205,0.759231,1.999899,0.91278,0.248734,0.48,0.65,0.1,0.25,2.5,0.3,1
O3,122,120,122,120,25,0.186368,0.208556,1.469195,0.875,0.466667,0.741262,0.74,1.771347,0.946067,0.237135,0.48,0.65,0.1,0.25,2.5,0.3,1
ALL,498,481,374,361,75,0.316627,0.431444,1.156891,0.85,0.617729,0.791225,0.729028,1.355864,0.905731,0.275078,0.48,0.65,0.1,0.25,2.5,0.35,2
O0,128,121,128,121,25,,,0.35294,,1.0,,,0.296346,,0.336763,0.48,0.65,0.1,0.25,2.5,0.35,2
O1,124,120,0,0,0,-0.013149,-0.018362,1.359711,0.833333,,,,,,,0.48,0.65,0.1,0.25,2.5,0.35,2
O2,124,120,124,120,25,0.20205,0.193131,1.452418,0.841667,0.475,0.73205,0.759231,1.999899,0.91278,0.248734,0.48,0.65,0.1,0.25,2.5,0.35,2
O3,122,120,122,120,25,0.186368,0.208556,1.469195,0.875,0.466667,0.741262,0.74,1.771347,0.946067,0.237135,0.48,0.65,0.1,0.25,2.5,0.35,2
ALL,498,481,374,361,75,0.316215,0.430589,1.157206,0.85,0.617729,0.791225,0.729028,1.355864,0.905731,0.275078,0.48,0.65,0.1,0.25,3.5,0.3,3
O0,128,121,128,121,25,,,0.35294,,1.0,,,0.296346,,0.336763,0.48,0.65,0.1,0.25,3.5,0.3,3
O1,124,120,0,0,0,-0.01593,-0.024641,1.360972,0.833333,,,,,,,0.48,0.65,0.1,0.25,3.5,0.3,3
O2,124,120,124,120,25,0.20205,0.193131,1.452418,0.841667,0.475,0.73205,0.759231,1.999899,0.91278,0.248734,0.48,0.65,0.1,0.25,3.5,0.3,3
O3,122,120,122,120,25,0.186368,0.208556,1.469195,0.875,0.466667,0.741262,0.74,1.771347,0.946067,0.237135,0.48,0.65,0.1,0.25,3.5,0.3,3
ALL,498,481,374,361,75,0.316242,0.4305,1.157577,0.85,0.617729,0.791225,0.729028,1.355864,0.905731,0.275078,0.48,0.65,0.1,0.25,3.5,0.35,4
O0,128,121,128,121,25,,,0.35294,,1.0,,,0.296346,,0.336763,0.48,0.65,0.1,0.25,3.5,0.35,4
O1,124,120,0,0,0,-0.015157,-0.025405,1.362459,0.833333,,,,,,,0.48,0.65,0.1,0.25,3.5,0.35,4
O2,124,120,124,120,25,0.20205,0.193131,1.452418,0.841667,0.475,0.73205,0.759231,1.999899,0.91278,0.248734,0.48,0.65,0.1,0.25,3.5,0.35,4
O3,122,120,122,120,25,0.186368,0.208556,1.469195,0.875,0.466667,0.741262,0.74,1.771347,0.946067,0.237135,0.48,0.65,0.1,0.25,3.5,0.35,4
ALL,498,481,374,361,75,0.316366,0.431442,1.16099,0.85,0.617729,0.781683,0.727173,1.377728,0.906471,0.275235,0.48,0.65,0.1,0.3,2.5,0.3,5
O0,128,121,128,121,25,,,0.353485,,1.0,,,0.298984,,0.337035,0.48,0.65,0.1,0.3,2.5,0.3,5
O1,124,120,0,0,0,-0.011282,-0.014515,1.362475,0.833333,,,,,,,0.48,0.65,0.1,0.3,2.5,0.3,5
O2,124,120,124,120,25,0.204117,0.192416,1.459945,0.841667,0.475,0.721263,0.752308,2.036026,0.913591,0.24782,0.48,0.65,0.1,0.3,2.5,0.3,5
O3,122,120,122,120,25,0.185705,0.20791,1.474784,0.875,0.466667,0.731651,0.740769,1.798174,0.947851,0.238262,0.48,0.65,0.1,0.3,2.5,0.3,5
ALL,498,481,374,361,75,0.316383,0.431363,1.161574,0.85,0.617729,0.781683,0.727173,1.377728,0.906471,0.275235,0.48,0.65,0.1,0.3,2.5,0.35,6
O0,128,121,128,121,25,,,0.353485,,1.0,,,0.298984,,0.337035,0.48,0.65,0.1,0.3,2.5,0.35,6
O1,124,120,0,0,0,-0.010337,-0.015251,1.364815,0.833333,,,,,,,0.48,0.65,0.1,0.3,2.5,0.35,6
O2,124,120,124,120,25,0.204117,0.192416,1.459945,0.841667,0.475,0.721263,0.752308,2.036026,0.913591,0.24782,0.48,0.65,0.1,0.3,2.5,0.35,6
O3,122,120,122,120,25,0.185705,0.20791,1.474784,0.875,0.466667,0.731651,0.740769,1.798174,0.947851,0.238262,0.48,0.65,0.1,0.3,2.5,0.35,6
ALL,498,481,374,361,75,0.315982,0.430492,1.161675,0.85,0.617729,0.781683,0.727173,1.377728,0.906471,0.275235,0.48,0.65,0.1,0.3,3.5,0.3,7
O0,128,121,128,121,25,,,0.353485,,1.0,,,0.298984,,0.337035,0.48,0.65,0.1,0.3,3.5,0.3,7
O1,124,120,0,0,0,-0.01328,-0.021474,1.365223,0.833333,,,,,,,0.48,0.65,0.1,0.3,3.5,0.3,7
